"TAXON_NAME_ID","SCIENTIFIC_NAME","AUTHOR_TEXT"
175720,"Helcionscus tsamosesicus","Martyn"
175721,"Fasciolaria austsalasia","Gmel."
175722,"Glycimesis striatularis","Lam."
175723,"Helcionscus linsbatus","Phil"
41394,"Conus litoglyphus","Hwass ""in"" Bruguiere, 1792"
41395,"Conus coronatus","Gmelin, 1791"
41396,"Conus parius","Reeve, 1844"
41397,"Conus muriculatus","Sowerby i, ""in"" Sowerby, ii, 1833"
41398,"Conus aurisiacus","Linnaeus, 1758"
41399,"Conus moreleti","Crosse, 1858"
41400,"Kermia pumila",""
179880,"Lymnaea elmenteiteusis","Smith"
179881,"Rhadis punctatus","Anton"
179882,"Curce albida","Wash"
179884,"Architectonica reevei","(Lamarck, 1816)"
179885,"Tapes deshayesi","Nam var. i"
40341,"Tapes litterata","Linnaeus, 1758"
41004,"Eudoxochiton inornatus","(Tenison Woods, 1881)"
41005,"Eudoxochiton nobilis","(Gray, 1843)"
41007,"Achatina vicina","C.B. Adams, 1845"
41008,"Achatina longispira","C.B. Adams, 1850"
41009,"Chiton aereus","Reeve, 1847"
179899,"Pleusodonte marginella gutiessegi","Poey"
179900,"Littorina angulifesa","Lam"
179901,"Chondropoma tevinctum","Poey"
179902,"Sagda pila","Ads."
180890,"Trimusculus mammilaris","(Linnaeus, 1758)"
180891,"Ovatella firminii","(Payraudeau, 1826)"
178922,"Zenatia acrnaces","Q. G."
178923,"Melongena coroua","Linn"
178924,"Donax variabolis","Say"
178925,"Solenaya velum","Say"
178926,"Natica sagraiana","Orb."
40308,"Epitonium alatum","Sowerby, 1844"
40309,"Strombus wilsoni","Abbott, 1967"
40310,"Achatinella diversa","Gulick"
176529,"Nassarius caelolineatus","Nesbitt & Pitt, 1986"
176530,"Fectola caputspinwlae","Reese"
176531,"Fectola subinfecta","(Suter)"
176532,"Fectola tapirina","(Hutton)"
176533,"Epitonium bucknilli","Powell"
176534,"Brachypodella (Gyraxis) vegai",""
40311,"Turritella cingulata","Sowerby"
40312,"Murex peasei","""Tryon, 1880"""
40313,"Io inermis","Anthony, 1860"
41380,"Corbula dietziana","C.B. Adams, 1852"
41381,"Bulimus ovoideus","Bruguiere"
41382,"Bulimus hindsii","'Pfeiffer' Reeve, 1848"
41383,"Helix polychroa","Sowerby, 1841"
41384,"Melania arachnoidea","Anthony, 1854"
41385,"Marginella cassis","Dall, 1889"
41386,"Yoldia solenoides","Dall, 1881"
179862,"Tegula (Agathistoma) felipensis","McLean, 1970"
179863,"Entalis striolata",""
179868,"Cingula hifasciata","Adam"
179869,"Onoba vitrea","Montagu"
179872,"Northia figrina","iener"
193991,"Owenites koeneni","Hyatt & Smith, 1905"
193993,"Owenites slavini",""
193994,"Owenites slaveni","(Popow)"
37532,"Fragum unedo","(Linnaeus, 1758)"
37533,"Strombus gibberulus","Mörch, 1850"
37534,"Conus generalis","L., 1767"
37535,"Ficus subintermedia","Orbigney, 1852"
37536,"Fusinus boettgeri","von Maltgam, 1884"
37537,"Anodonta cataracta","Say, 1817"
180892,"Trimusculus mamilaris","(Payraudeau, 1826)"
180893,"Ocinebrina aicuclata","(Lamarck, 1822)"
180894,"Bolinus brandaris","(Linnaeus, 1758)"
180895,"Typhinellus sowerby","(Broderip, 1832)"
180896,"Orania fusulus","(Brocchi, 1814)"
180897,"Epitonium cantrainei","(Weinkauff, 1866)"
175724,"Acmaea septifosmis","Q. & H."
40327,"Thais speciosa","(Valenciennes, 1832)"
40329,"Liocerithium judithae","Keen, 1971"
40330,"Mitra tristis","Broderip, 1836"
40331,"Pilsbryspira nymphia","(Pilsbry & Lowe, 1932)"
40332,"Diodora inaequalis","(Sowerby, 1835)"
40333,"Collisella acutapex","(Berry, 1960)"
41401,"Chiton viridis","Spengler, 1797"
41402,"Chiton whitleyi","Iredale & Hull, 1932"
41403,"Helix cygnea","Benson, 1853"
41404,"Reticharopa latecosta","Solem"
41405,"Zonitarion entagaricus","Pilsbry"
41406,"Solmodora mendoza","Brazier, 1872"
37517,"Conus pulicarius","Hwass ""in"" Bruguiere, 1792"
179887,"Cypraea stolida brevidentata","(Linnaeus, 1758)"
179888,"Nerita latissima",""
179889,"Pyramidula strigosa hemphilli","Newc."
179890,"Pleurocera mciale","Hald"
179891,"Polymita muscareum candida","Clench"
180346,"Helix (Levantina) spiroplana","Oliv."
180347,"Fasciolaria lilium hunteria","(Perry, 1811)"
180348,"Olivella darua","Ducl"
180349,"Thylacodes nodulosus malaccanus","Pilsbry"
180350,"Thais freycineti","Desh"
180351,"Melania libertina irrigua","vMts"
176515,"Haustator (Urosioia) cingulifer","(Sowerby, 1825)"
176516,"Zaecolpus symmetricus","(Hutton, 1873)"
176517,"Abraliopsis morisii","(Vérany, 1839) "
176518,"Distorsis clathrata","Lamarck"
176519,"Distorsio constricta macginityii","Emerson & Puffer"
178927,"Oliva funebralis dectyliola","Ruch"
178928,"Paphia philippinarum","Adams & Reeve"
178929,"Tivela hians","Phil"
178931,"Crenovolva rosewateri","Cate, 1973"
178932,"Latiaxis habui","Azuma, 1971"
178933,"Latiaxis teramachi","Luroda, 1959"
41010,"Chiton affinis","Issel, 1869"
180345,"Avicula castanea","Reeve"
41033,"Achatina pellucens","C.B. Adams, 1845"
41034,"Achatina gayana","C.B. Adams, 1850"
41035,"Achatina ligata","C.B. Adams, 1849"
41036,"Achatina blandiana","C.B. Adams, 1850"
41037,"Achatina elegans","C.B. Adams, 1849"
41038,"Callistochiton pulchellus","(Gray, 1828)"
41039,"Callistochiton pulchrior","Carpenter MS, Pilsbry, 1893"
113413,"Mitra savignyi","Payr."
113414,"Mitra annulata","Rve."
113415,"Mitra tricolor","Gmelin"
179523,"Colobostylus humphreysianus",""
192577,"Neptunea humerosa",""
192578,"Neptunea humerosa","Gabb"
192580,"Cancellaria altispira",""
192582,"Cancellaria altisperia","Gabb"
40668,"Achatinella subvirens","Newcomb, 1854"
40669,"Achatinella rubiginosa","Newcomb, 1854"
40670,"Achatinella cestus","Newcomb, 1854"
40671,"Achatinella undulata","Newcomb, 1855"
40672,"Potamomya aequalis","C.B. Adams, 1852"
40673,"Favartia erosa","(Linnaeus, 1758)"
40675,"Anculotus dentalus","Couthouy"
40676,"Anculotus dentatus","Couthouy"
40677,"Io fluvialis lyttonensis","Anthony, 1860"
40678,"Fusconaia cor","(Conrad, 1834)"
40679,"Cadulus acus","Dall, 1889"
40681,"Helix dubiosa","Pfeiffer, 1846"
173419,"Smaragdia sowerbiana","Montr."
173420,"Ptycotrema cymatonotus","Pils."
173421,"Unio nitens","Lea"
173422,"Gulella (Tortiquella) bequaerti","Degn."
174666,"Clausilia almissa major","West"
196094,"Cardium hillanum","Sow."
113416,"Fissurella barbedensis","Gmel."
113417,"Sonorella ferrissi","Pils"
114092,"Trichodina cornea","Morel"
114093,"Glessula baculina","Blanf"
178576,"Onchidella carpenteri","(Pfr.)"
178578,"Vitrina lattissima",""
178579,"Omphalina subplanus",""
178580,"Pomatia buffoniana",""
178582,"Oxystyla obductus",""
