"TAXON_NAME_ID","SCIENTIFIC_NAME","AUTHOR_TEXT"
503584,"Nellia","Busk, 1852"
503585,"Nellia oculata","Busk, 1852"
503586,"Diaperoeciidae",""
503589,"Parasmittina loxoides","Winston, Vieira & Woollacott, 2014"
503590,"Parasmittina simpulata","Winston, Vieira & Woollacott, 2014"
503591,"Parellisina","Osburn, 1940"
503592,"Parellisina lunatirostris","Winston, Vieira & Woollacott, 2014"
503593,"Plagioeciidae",""
503594,"Plagioecia","Canu, 1918"
503541,"Arachnopusioidea",""
503542,"Arachnopusiidae",""
503543,"Arachnopusia","Jullien, 1888"
503544,"Arachnopusia haywardi","Viera, Gordon, Souza & Haddad, 2010"
503545,"Canda","Lamouroux, 1816"
503546,"Canda alsia","Winston, Vieira & Woollacott, 2014"
503547,"Cellaria brasiliensis","Winston, Vieira & Woollacott, 2014"
503548,"Cellaria subtropicalis","Viera, Gordon, Souza & Haddad, 2010"
503549,"Exochella frigidula","Winston, Vieira & Woollacott, 2014"
503550,"Onychocellidae",""
503551,"Floridina","Jullien, 1881"
503552,"Floridina proterva","Winston, Vieira & Woollacott, 2014"
503553,"Hippaliosinidae",""
503554,"Hippaliosina","Canu, 1919"
503555,"Hippaliosina imperfecta","(Canu & Bassler, 1928)"
503556,"Plesiocleidochasma","Soule & Chaney, 1991"
503595,"Plagioecia bugei","Winston, Vieira & Woollacott, 2014"
503596,"Poricella","Canu, 1904"
503597,"Poricella frigorosa","Winston, Vieira & Woollacott, 2014"
503598,"Retevirgula multipunctata","Winston, Vieira & Woollacott, 2014"
503599,"Lacernidae",""
503600,"Rogicka","Uttley & Bullivant, 1972"
502353,"Membraniporoidea",""
503557,"Plesiocleidochasma foliosum","Winston, Vieira & Woollacott, 2014"
503558,"Trematooecia ridleyi","(Kirkpatrick, 1890)"
503601,"Rogicka joannae","Vieira, Gordon, Souza & Haddad, 2010"
503602,"Stephanollona angusta","Vieira, Gordon, Souza & Haddad, 2010"
503603,"Stylopoma auranticum","Canu & Bassler, 1928"
503604,"Stylopoma carioca","Winston, Vieira & Woollacott, 2014"
503605,"Vitrimurellidae","Winston, Vieira & Woollacott, 2014"
503606,"Vitrimurella","Winston, Vieira & Woollacott, 2014"
503607,"Vitrimurella fulgens","(Marcus, 1955)"
503608,"Puellina octospinata","Winston, Vieira & Woollacott, 2014"
503609,"Stylopoma rotundum","Winston, Vieira & Woollacott, 2014"
502102,"Hippothoa","Lamouroux, 1821"
503536,"Turbicellepora brasiliensis","Winston, Vieira & Woollacott, 2014"
503614,"Cigclisula tuberculata","Winston, Vieira & Woollacott, 2014"
503562,"Antropora hastata","Winston, Vieira & Woollacott, 2014"
503563,"Buffonellaria variavicularis","Winston, Vieira & Woollacott, 2014"
503564,"Celleporaria","Lamouroux, 1821"
503565,"Celleporaria atlantica","(Busk, 1884)"
503566,"Celleporaria mordax","(Marcus, 1937)"
503568,"Disporella","Gray, 1848"
503569,"Disporella brasiliana","Winston, Vieira & Woollacott, 2014"
503570,"Fenestrulina","Jullien, 1888"
503571,"Fenestrulina constellata","Winston, Vieira & Woollacott, 2014"
503572,"Hippothoa flagellum","Manzoni, 1870"
503573,"Klugerella","Moyano, 1991"
503574,"Klugerella petasus","(Canu & Bassler, 1928)"
502347,"Acanthodesia serrata",""
492584,"Heteropora pacifica","Borg, 1933"
502104,"Flustrellidra hispida","(Fabricius, 1780)"
502612,"Crisia eburnea","(Linnaeus, 1758)"
502615,"Vesiculariidae",""
502616,"Amathia","Lamouroux, 1812"
502617,"Amathia vidovici","(Heller, 1867)"
502696,"Loxocalyx leptoclini","(Harmer, 1885)"
502103,"Hippothoa hyalina","(Linnaeus, 1767)"
